,ID,Name,Other Name,Category,Score,TDSHV,Bookmarks,Reviews,LOD,Price Range,Location,Location 2,Address,URL
330,r715729,一冰廳,Yat cafe,"['Hong Kong Style', 'Fast Food', 'Food Wise Eateries']",4.5,"['40', '40', '40', '40', '40']",812,13 Reviews,"['7', '0', '0']",$51-100,Lai Chi Kok,Lai Chi Kok,"G/F, Elite Industrial Centre, 883-889 Cheung Sha Wan Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-yat-cafe-lai-chi-kok-hong-kong-style-r715729
331,r108520,譚仔雲南米線,Tamjai Yunnan Mixian,"['Yunnan', 'Noodles/Rice Noodles']",3.5,"['30', '30', '30', '30', '30']",1120,50 Reviews,"['10', '16', '5']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop 211, 2/F, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-tamjai-yunnan-mixian-lai-chi-kok-yunnan-noodles-rice-noodles-r108520
332,r535550,滋味屋日本家庭料理,Yummy Yummy,['Japanese'],4,"['40', '30', '30', '30', '40']",498,18 Reviews,"['11', '4', '1']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop 307, 3/F, D2 Place One, 9 Cheung Yee Street, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-yummy-yummy-lai-chi-kok-japanese-r535550
333,-r89894,大戶屋,Ootoya,['Japanese'],3.5,"['30', '30', '30', '30', '30']",1123,58 Reviews,"['23', '17', '3']",$101-200,Lai Chi Kok,Lai Chi Kok,"Shop L003, G/F, Aeon, Aquamarine, 8 Sham Shing Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-ootoya-lai-chi-kok-japanese-r89894
334,r748199,和田便當,Wada Bento,"['Japanese', 'Vending Machine']",4.5,"['40', '40', '40', '40', '40']",100,8 Reviews,"['8', '0', '0']",$51-100,Lai Chi Kok,Lai Chi Kok,"Shop 6A1, G/F, Elite Industrial Centre, 883 Cheung Sha Wan Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-wada-bento-lai-chi-kok-japanese-r748199
335,r747656,Baron cafe & restaurant,,['International'],4,"['30', '40', '40', '40', '30']",160,11 Reviews,"['8', '0', '0']",$51-100,Lai Chi Kok,Lai Chi Kok,"Room A, G/F, Sun Kwong Industrial Building, 1059-1061 Tung Chau West Street, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-baron-cafe-restaurant-lai-chi-kok-international-r747656
336,r671439,Babmug,,['Korean'],4,"['40', '30', '40', '40', '30']",795,12 Reviews,"['7', '1', '0']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop E1, G/F, Elite Industrial Centre, 883 Cheung Sha Wan Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-babmug-lai-chi-kok-korean-r671439
337,-r97878,小廚港作,Rocoma Kitchen,"['Hong Kong Style', 'Seafood', 'Noodles/Rice Noodles', 'Curry', 'Hamburger', 'Tea Restaurant']",3.5,"['30', '30', '30', '30', '30']",1221,98 Reviews,"['34', '25', '5']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop G01B, G/F, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-rocoma-kitchen-lai-chi-kok-hong-kong-style-curry-r97878
338,r679081,心事如塵茶食亭 (億利工業中心),Dustykid Tea Shop - Light as Dust (Elite Industrial Centre),"['Taiwan', 'Taiwanese Drink', 'Vegetarian', 'Salad', 'Cake']",3.5,"['30', '30', '30', '30', '30']",1017,22 Reviews,"['8', '2', '4']",$51-100,Lai Chi Kok,Lai Chi Kok,"Shop 6-A3, G/F, Elite Industrial Centre, 883 Cheung Sha Wan Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-dustykid-tea-shop-light-as-dust-lai-chi-kok-taiwan-salad-r679081
339,r754021,紅米 (億利工業中心),Red Rice (Elite Industrial Centre),"['Hong Kong Style', 'Noodles/Rice Noodles', 'Tea Restaurant']",4,"['30', '30', '30', '30', '40']",153,11 Reviews,"['7', '1', '2']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop 8, G/F, Elite Industrial Centre, 883 Cheung Sha Wan Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-red-rice-lai-chi-kok-hong-kong-style-noodles-rice-noodles-r754021
340,r593705,Bohdan,,['Western'],3.5,"['30', '30', '30', '30', '30']",1160,40 Reviews,"['17', '11', '5']",$51-100,Lai Chi Kok,Lai Chi Kok,"Shop 2, G/F, Lai Cheung Factory Building, 479 Castle Peak Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-bohdan-lai-chi-kok-western-r593705
341,r652223,越圓越式小店,,['Vietnamese'],4.5,"['40', '30', '40', '40', '50']",548,11 Reviews,"['9', '0', '0']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop 15, G/F, Winsum Industrial Building, 588-592 Castle Peak Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-%E8%B6%8A%E5%9C%93%E8%B6%8A%E5%BC%8F%E5%B0%8F%E5%BA%97-lai-chi-kok-vietnamese-r652223
